uniprot_id	molecule_chembl_id	molecule_pref_name	mechanism_of_action	action_type	evidence
P11362	CHEMBL1980391	RG-1530	Fibroblast growth factor receptor 1 inhibitor	INHIBITOR	PubMed, PubMed
P11362	CHEMBL4297190	SURUFATINIB	Fibroblast growth factor receptor 1 inhibitor	INHIBITOR	Other, ClinicalTrials, Other
P11362	CHEMBL403989	TG100-801	Fibroblast growth factor receptor 1 inhibitor	INHIBITOR	PubMed, PubMed, PubMed
Q9Y5N1	CHEMBL2151197	PF-03654746	Histamine H3 receptor antagonist	ANTAGONIST	PubMed, PubMed
Q9Y5N1	CHEMBL2206292	PF-03654764	Histamine H3 receptor antagonist	ANTAGONIST	PubMed
Q9Y5N1	CHEMBL3092650	GSK239512	Histamine H3 receptor antagonist	ANTAGONIST	PubMed
Q9Y5N1	CHEMBL3545029	ABT-288	Histamine H3 receptor antagonist	ANTAGONIST	PubMed
Q9Y5N1	CHEMBL278462	CIPRALISANT	Histamine H3 receptor agonist	AGONIST	PubMed, PubMed, PubMed
Q9Y5N1	CHEMBL24441	BETAHISTINE	Histamine H3 receptor antagonist	ANTAGONIST	PubMed, PubMed, PubMed, PubMed, PubMed, PubMed
Q9Y5N1	CHEMBL2103862	BAVISANT	Histamine H3 receptor antagonist	ANTAGONIST	PubMed
Q9Y5N1	CHEMBL1829335	IRDABISANT	Histamine H3 receptor antagonist	ANTAGONIST	PubMed, PubMed
Q9Y5N1	CHEMBL3545030	JNJ-17216498	Histamine H3 receptor antagonist	ANTAGONIST	PubMed
Q9Y5N1	CHEMBL462605	PITOLISANT	Histamine H3 receptor inverse agonist	INVERSE AGONIST	PubMed, PubMed
Q9Y5N1	CHEMBL517140	GSK189254	Histamine H3 receptor antagonist	ANTAGONIST	PubMed
Q9Y5N1	CHEMBL476323	MK-0249	Histamine H3 receptor inverse agonist	INVERSE AGONIST	PubMed, PubMed
Q9Y5N1	CHEMBL462605	PITOLISANT	Histamine H3 receptor inverse agonist	INVERSE AGONIST	FDA, PubMed, PubMed
P43115	CHEMBL606	MISOPROSTOL	Prostanoid EP3 receptor agonist	AGONIST	ISBN, DailyMed, Wikipedia
Q13477	CHEMBL2109511	ONTAMALIMAB	Mucosal addressin cell adhesion molecule-1 inhibitor	INHIBITOR	PubMed
P07288	CHEMBL2108285	CAPROMAB	Prostate specific antigen binding agent	BINDING AGENT	PMC
O43526	CHEMBL266510	FLINDOKALNER	Voltage-gated potassium channel subunit Kv7.2 activator	ACTIVATOR	PubMed
Q99572	CHEMBL3545108	AZD9056	P2X purinoceptor 7 antagonist	ANTAGONIST	Other, Other, PubMed
Q99572	CHEMBL3545206	GSK1482160	P2X purinoceptor 7 negative allosteric modulator	NEGATIVE ALLOSTERIC MODULATOR	PubMed
Q99572	CHEMBL3707396	EVT401	P2X purinoceptor 7 antagonist	ANTAGONIST	PubMed, PubMed, Other
Q99572	CHEMBL1823817	CE-224535	P2X purinoceptor 7 antagonist	ANTAGONIST	PubMed, Other
P12931	CHEMBL571546	KX2-391	Tyrosine-protein kinase SRC inhibitor	INHIBITOR	PubMed, PubMed, Other, DOI
P12931	CHEMBL3545133	JNJ-26483327	Tyrosine-protein kinase SRC inhibitor	INHIBITOR	PubMed, DOI
P12931	CHEMBL24828	VANDETANIB	Tyrosine-protein kinase SRC inhibitor	INHIBITOR	DailyMed
P12931	CHEMBL217092	SARACATINIB	Tyrosine-protein kinase SRC inhibitor	INHIBITOR	PubMed
P12931	CHEMBL49120	PD-0166285	Tyrosine-protein kinase SRC inhibitor	INHIBITOR	PubMed
P12931	CHEMBL288441	BOSUTINIB	Tyrosine-protein kinase SRC inhibitor	INHIBITOR	Expert
P12931	CHEMBL3545150	AZM-475271	Tyrosine-protein kinase SRC inhibitor	INHIBITOR	PubMed, PubMed
P12931	CHEMBL3545177	AZD-0424	Tyrosine-protein kinase SRC inhibitor	INHIBITOR	ClinicalTrials, PubMed
P32238	CHEMBL1201355	CERULETIDE	Cholecystokinin A receptor agonist	AGONIST	PubMed, Wikipedia
P61073	CHEMBL3545348	BKT140	C-X-C chemokine receptor type 4 antagonist	ANTAGONIST	PubMed, PubMed, PubMed
P61073	CHEMBL3545224	BURIXAFOR	C-X-C chemokine receptor type 4 antagonist	ANTAGONIST	PubMed, Other
P61073	CHEMBL3545330	MSX-122	C-X-C chemokine receptor type 4 antagonist	ANTAGONIST	PubMed
P61073	CHEMBL3545105	POL6326	C-X-C chemokine receptor type 4 antagonist	ANTAGONIST	PubMed, Other
P61073	CHEMBL3039543	ULOCUPLUMAB	C-X-C chemokine receptor type 4 inhibitor	INHIBITOR	Other, PMC
P61073	CHEMBL3544949	CTCE-9908	C-X-C chemokine receptor type 4 antagonist	ANTAGONIST	PubMed, Other
P61073	CHEMBL18442	PLERIXAFOR	C-X-C chemokine receptor type 4 partial agonist	PARTIAL AGONIST	DailyMed
P01730	CHEMBL2108475	PRILIXIMAB	T-cell surface antigen CD4 negative modulator	NEGATIVE MODULATOR	PubMed, Patent
P01730	CHEMBL1743029	IBALIZUMAB	T-cell surface antigen CD4 inhibitor	INHIBITOR	PubMed, PubMed
P01730	CHEMBL2108266	CEDELIZUMAB	T-cell surface antigen CD4 inhibitor	INHIBITOR	ISBN, DOI, PubMed, PubMed
P01730	CHEMBL2108489	KELIXIMAB	T-cell surface antigen CD4 negative modulator	NEGATIVE MODULATOR	PubMed
P01730	CHEMBL2109474	TRX-1	T-cell surface antigen CD4 inhibitor	INHIBITOR	PubMed
P01730	CHEMBL1743083	TREGALIZUMAB	T-cell surface antigen CD4 agonist	AGONIST	PMC, PubMed
P01730	CHEMBL2108187	CLENOLIXIMAB	T-cell surface antigen CD4 inhibitor	INHIBITOR	PubMed
Q00534	CHEMBL428690	ALVOCIDIB	Cyclin-dependent kinase 6 inhibitor	INHIBITOR	PubMed, PubMed
Q00534	CHEMBL3545110	RIBOCICLIB	Cyclin-dependent kinase 6 inhibitor	INHIBITOR	Other, PubMed
Q00534	CHEMBL574737	UCN-01	Cyclin-dependent kinase 6 inhibitor	INHIBITOR	PubMed, PubMed, Other
Q00534	CHEMBL3301610	ABEMACICLIB	Cyclin-dependent kinase 6 inhibitor	INHIBITOR	PubMed
Q00534	CHEMBL3545110	RIBOCICLIB	Cyclin-dependent kinase 6 inhibitor	INHIBITOR	PubMed, Other
P43235	CHEMBL481611	ODANACATIB	Cathepsin K inhibitor	INHIBITOR	PubMed
Q00975	CHEMBL1795072	ZICONOTIDE ACETATE	Voltage-gated N-type calcium channel alpha-1B subunit blocker	BLOCKER	PubMed, FDA
Q00975	CHEMBL1286	LEVETIRACETAM	Voltage-gated N-type calcium channel alpha-1B subunit blocker	BLOCKER	DailyMed
Q00975	CHEMBL3545172	CNV2197944	Voltage-gated N-type calcium channel alpha-1B subunit blocker	BLOCKER	Other, Other
Q00975	CHEMBL2107771	RALFINAMIDE	Voltage-gated N-type calcium channel alpha-1B subunit blocker	BLOCKER	PubMed, Other
Q00975	CHEMBL604710	Z160	Voltage-gated N-type calcium channel alpha-1B subunit blocker	BLOCKER	PubMed
Q00975	CHEMBL29919	ELPETRIGINE	Voltage-gated N-type calcium channel alpha-1B subunit blocker	BLOCKER	PubMed, PubMed
P11597	CHEMBL313006	DALCETRAPIB	Cholesteryl ester transfer protein inhibitor	INHIBITOR	PubMed, PubMed
P11597	CHEMBL2017179	EVACETRAPIB	Cholesteryl ester transfer protein inhibitor	INHIBITOR	PubMed
P11597	CHEMBL1800807	ANACETRAPIB	Cholesteryl ester transfer protein inhibitor	INHIBITOR	PubMed
P24385	CHEMBL1206245	BRICICLIB	G1/S-specific cyclin D1 inhibitor	INHIBITOR	Other, PubMed
O96017	CHEMBL3544911	PREXASERTIB	Serine/threonine-protein kinase Chk2 inhibitor	INHIBITOR	PubMed
O96017	CHEMBL3544936	XL-844	Serine/threonine-protein kinase Chk2 inhibitor	INHIBITOR	PubMed, PubMed, Other
P06276	CHEMBL2105345	PROPANIDID	Butyrylcholinesterase inhibitor	INHIBITOR	PubMed, PubMed
Q15722	CHEMBL329123	ETALOCIB	Leukotriene B4 receptor 1 antagonist	ANTAGONIST	PubMed, Wikipedia, DOI
Q15722	CHEMBL1742420	AMELUBANT	Leukotriene B4 receptor 1 antagonist	ANTAGONIST	PubMed
P32246	CHEMBL2178570	AZD4818	C-C chemokine receptor type 1 antagonist	ANTAGONIST	PubMed
P32246	CHEMBL3545404	CCX354	C-C chemokine receptor type 1 antagonist	ANTAGONIST	PubMed
P51679	CHEMBL1743041	MOGAMULIZUMAB	C-C chemokine receptor type 4 cross-linking agent	CROSS-LINKING AGENT	PubMed, PubMed, PubMed
P51681	CHEMBL1951914	AZD5672	C-C chemokine receptor type 5 antagonist	ANTAGONIST	PubMed, PubMed
P51681	CHEMBL1201187	MARAVIROC	C-C chemokine receptor type 5 antagonist	ANTAGONIST	DailyMed
P51681	CHEMBL2110727	CENICRIVIROC	C-C chemokine receptor type 5 antagonist	ANTAGONIST	PubMed, PubMed, PubMed
P51681	CHEMBL2109342	HGS-1025	C-C chemokine receptor type 5 inhibitor	INHIBITOR	Other, ClinicalTrials
P51681	CHEMBL2109341	CCR5MAB004	C-C chemokine receptor type 5 inhibitor	INHIBITOR	PubMed
P51681	CHEMBL1255794	APLAVIROC	C-C chemokine receptor type 5 antagonist	ANTAGONIST	PubMed, PubMed
P51681	CHEMBL2109343	LERONLIMAB	C-C chemokine receptor type 5 antagonist	ANTAGONIST	PubMed
P51681	CHEMBL82301	VICRIVIROC	C-C chemokine receptor type 5 antagonist	ANTAGONIST	PubMed
P51681	CHEMBL3545032	PF-04634817	C-C chemokine receptor type 5 antagonist	ANTAGONIST	Other
P51681	CHEMBL1688243	INCB-9471	C-C chemokine receptor type 5 antagonist	ANTAGONIST	PubMed, PubMed
P14555	CHEMBL148674	VARESPLADIB	Phospholipase A2 group IIA inhibitor	INHIBITOR	PubMed
P14555	CHEMBL2105659	VARESPLADIB METHYL	Phospholipase A2 group IIA inhibitor	INHIBITOR	PubMed
P05121	CHEMBL325424	ALEPLASININ	Plasminogen activator inhibitor-1 inhibitor	INHIBITOR	PubMed
O15530	CHEMBL1650595	AR-12	3-phosphoinositide dependent protein kinase-1 inhibitor	INHIBITOR	PubMed
O15530	CHEMBL574737	UCN-01	3-phosphoinositide dependent protein kinase-1 inhibitor	INHIBITOR	PubMed, PubMed, Other
P50406	CHEMBL2103880	CERLAPIRDINE	Serotonin 6 (5-HT6) receptor antagonist	ANTAGONIST	PubMed
P50406	CHEMBL3286580	IDALOPIRDINE	Serotonin 6 (5-HT6) receptor antagonist	ANTAGONIST	PubMed, Other
P50406	CHEMBL3545344	PF-05212377	Serotonin 6 (5-HT6) receptor antagonist	ANTAGONIST	Other
P50406	CHEMBL1083390	INTEPIRDINE	Serotonin 6 (5-HT6) receptor antagonist	ANTAGONIST	PubMed
P36544	CHEMBL3544952	RG3487	Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist	PARTIAL AGONIST	PubMed, PubMed, PubMed
P36544	CHEMBL214268	PHA-543613	Neuronal acetylcholine receptor protein alpha-7 subunit agonist	AGONIST	PubMed, PubMed, Wikipedia
P36544	CHEMBL3545013	APN1125	Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist	PARTIAL AGONIST	DOI
P36544	CHEMBL2151437	AZD0328	Neuronal acetylcholine receptor protein alpha-7 subunit agonist	AGONIST	PubMed, PubMed
P36544	CHEMBL3545232	AQW051	Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist	PARTIAL AGONIST	PubMed, PubMed
P36544	CHEMBL2151572	ENCENICLINE	Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist	PARTIAL AGONIST	PubMed, PubMed
P36544	CHEMBL3707316	ND0801	Neuronal acetylcholine receptor protein alpha-7 subunit agonist	AGONIST	Other, Other
P36544	CHEMBL3545291	JNJ-39393406	Neuronal acetylcholine receptor protein alpha-7 subunit positive allosteric modulator	POSITIVE ALLOSTERIC MODULATOR	PubMed, PubMed
P36544	CHEMBL1258006	BRADANICLINE	Neuronal acetylcholine receptor protein alpha-7 subunit agonist	AGONIST	PubMed, PubMed
P36544	CHEMBL429317	AVL-3288	Neuronal acetylcholine receptor protein alpha-7 subunit positive allosteric modulator	POSITIVE ALLOSTERIC MODULATOR	PubMed, PubMed, PubMed, Other
P36544	CHEMBL559478	SSR180711	Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist	PARTIAL AGONIST	PubMed, PubMed
P36544	CHEMBL2151570	ABT-107	Neuronal acetylcholine receptor protein alpha-7 subunit agonist	AGONIST	PubMed, PubMed
P36544	CHEMBL3707249	ASM-024	Neuronal acetylcholine receptor protein alpha-7 subunit modulator	MODULATOR	PubMed, PubMed, Other
P36544	CHEMBL3545410	TC-6987	Neuronal acetylcholine receptor protein alpha-7 subunit agonist	AGONIST	PubMed, Other
P36544	CHEMBL3545231	ABT-126	Neuronal acetylcholine receptor protein alpha-7 subunit agonist	AGONIST	PubMed, DOI
P25116	CHEMBL1241855	RIGOSERTIB	Proteinase-activated receptor 1 inhibitor	INHIBITOR	PubMed, PubMed, Other
P25116	CHEMBL2103856	ATOPAXAR	Proteinase-activated receptor 1 antagonist	ANTAGONIST	PubMed, PubMed, PubMed
P25116	CHEMBL493982	VORAPAXAR	Proteinase-activated receptor 1 antagonist	ANTAGONIST	FDA
P05067	CHEMBL2108576	BAPINEUZUMAB	Beta amyloid A4 protein binding agent	BINDING AGENT	PubMed
P05067	CHEMBL1743058	PONEZUMAB	Beta amyloid A4 protein binding agent	BINDING AGENT	PubMed
P05067	CHEMBL3833321	BAN2401	Beta amyloid A4 protein inhibitor	INHIBITOR	PubMed
P05067	CHEMBL2109300	GSK933776	Beta amyloid A4 protein binding agent	BINDING AGENT	PubMed
P05067	CHEMBL1743004	CRENEZUMAB	Beta amyloid A4 protein inhibitor	INHIBITOR	Other, PubMed, Other
P05067	CHEMBL1743025	GANTENERUMAB	Beta amyloid A4 protein binding agent	BINDING AGENT	PubMed
P05067	CHEMBL1743072	SOLANEZUMAB	Beta amyloid A4 protein binding agent	BINDING AGENT	PubMed
P05067	CHEMBL3039540	ADUCANUMAB	Beta amyloid A4 protein binding agent	BINDING AGENT	PubMed
P19801	CHEMBL2105233	PROXIBARBAL	Diamine oxidase activator	ACTIVATOR	PubMed
P06280	CHEMBL110458	MIGALASTAT	Alpha-galactosidase A stabiliser	STABILISER	Other
P06280	CHEMBL110458	MIGALASTAT	Alpha-galactosidase A stabiliser	STABILISER	FDA
P06280	CHEMBL2108214	AGALSIDASE ALFA	Alpha-galactosidase A activator	ACTIVATOR	PubMed, PubMed, PubMed, Other, PubMed
P31751	CHEMBL3545049	BAY-1125976	Serine/threonine-protein kinase AKT2 inhibitor	INHIBITOR	DOI, DOI
Q9Y243	CHEMBL3545003	MSC-2363318A	Serine/threonine-protein kinase AKT3 inhibitor	INHIBITOR	Other
P04746	CHEMBL1566	ACARBOSE	Pancreatic alpha-amylase inhibitor	INHIBITOR	DailyMed
P04062	CHEMBL206468	AFEGOSTAT	Beta-glucocerebrosidase stabiliser	STABILISER	PubMed, PubMed
P00439	CHEMBL1201774	SAPROPTERIN	Phenylalanine-4-hydroxylase activator	ACTIVATOR	DailyMed
O14920	CHEMBL1762621	BARDOXOLONE METHYL	Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor	INHIBITOR	PubMed, PubMed
O14920	CHEMBL3545089	IMD-0354	Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor	INHIBITOR	PubMed
O14920	CHEMBL129857	AS-602868	Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor	INHIBITOR	PubMed, PubMed
O14920	CHEMBL3545147	IMD-2560	Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor	INHIBITOR	PubMed, Other
O14920	CHEMBL3545168	IMD-1041	Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor	INHIBITOR	PubMed, Other
O14920	CHEMBL3545265	MLN-0415	Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor	INHIBITOR	PubMed, Other, Other
O14920	CHEMBL3544945	SAR-113945	Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor	INHIBITOR	Other
P23786	CHEMBL75880	PERHEXILINE	Carnitine palmitoyltransferase 2 inhibitor	INHIBITOR	PubMed, PubMed, PubMed, Other
P14784	CHEMBL2109326	MIK-BETA-1	Interleukin-2 receptor beta chain inhibitor	INHIBITOR	PubMed
P14784	CHEMBL2109610	HUMIK-BETA-1	Interleukin-2 receptor beta chain inhibitor	INHIBITOR	PubMed
P25025	CHEMBL216981	NAVARIXIN	Interleukin-8 receptor B antagonist	ANTAGONIST	ClinicalTrials, PubMed, PubMed, PubMed
P25025	CHEMBL2178579	ELUBRIXIN	Interleukin-8 receptor B antagonist	ANTAGONIST	PubMed
P25025	CHEMBL189475	LADARIXIN	Interleukin-8 receptor B modulator	MODULATOR	PubMed
P25025	CHEMBL3039531	DANIRIXIN	Interleukin-8 receptor B antagonist	ANTAGONIST	PubMed
P25025	CHEMBL216981	NAVARIXIN	Interleukin-8 receptor B antagonist	ANTAGONIST	PubMed, PubMed, ClinicalTrials, PubMed
P25025	CHEMBL191413	REPARIXIN	Interleukin-8 receptor B modulator	MODULATOR	PubMed, PubMed
Q96GD4	CHEMBL3544932	TAK-901	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	PubMed
Q96GD4	CHEMBL482968	ENMD-2076	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	PubMed, PubMed, Other
Q96GD4	CHEMBL1090479	GSK-1070916	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	PubMed, PubMed
Q96GD4	CHEMBL3545428	CHIAURANIB	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	Other
Q96GD4	CHEMBL3545078	PF-03814735	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	PubMed, PubMed
Q96GD4	CHEMBL1908397	KW-2449	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	PubMed, PubMed
Q96GD4	CHEMBL415049	BARASERTIB	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	PubMed
Q96GD4	CHEMBL3545395	BI-811283	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	PubMed, Other, Wikipedia
Q96GD4	CHEMBL495727	AT-9283	Serine/threonine-protein kinase Aurora-B inhibitor	INHIBITOR	PubMed, PubMed
P19438	CHEMBL2109590	GSK-1995057	Tumor necrosis factor receptor R1 inhibitor	INHIBITOR	PubMed
P52333	CHEMBL4085457	PF-06651600	Tyrosine-protein kinase JAK3 inhibitor	INHIBITOR	PubMed
P52333	CHEMBL495727	AT-9283	Tyrosine-protein kinase JAK3 inhibitor	INHIBITOR	PubMed, PubMed
P52333	CHEMBL3545382	R-348	Tyrosine-protein kinase JAK3 inhibitor	INHIBITOR	PubMed, PubMed
P52333	CHEMBL3545159	R-333	Tyrosine-protein kinase JAK3 inhibitor	INHIBITOR	Other
P52333	CHEMBL2106468	TRICETAMIDE	Tyrosine-protein kinase JAK3 inhibitor	INHIBITOR	PubMed, PubMed
P52333	CHEMBL3039513	DECERNOTINIB	Tyrosine-protein kinase JAK3 inhibitor	INHIBITOR	PubMed
P52333	CHEMBL3545284	CERDULATINIB	Tyrosine-protein kinase JAK3 inhibitor	INHIBITOR	PubMed, Other
P52333	CHEMBL405130	WHI-P131	Tyrosine-protein kinase JAK3 inhibitor	INHIBITOR	PubMed
Q9BY41	CHEMBL272980	MOCETINOSTAT	Histone deacetylase 8 inhibitor	INHIBITOR	PubMed, PubMed
Q15842	CHEMBL181	DIAZOXIDE	Potassium channel, inwardly rectifying, subfamily J, member 8 opener	OPENER	ISBN, DailyMed, Wikipedia
P04049	CHEMBL1336	SORAFENIB	Serine/threonine-protein kinase RAF inhibitor	INHIBITOR	FDA
P04049	CHEMBL3545195	LY-3009120	Serine/threonine-protein kinase RAF inhibitor	INHIBITOR	PubMed
P04049	CHEMBL3545296	ARQ-736	Serine/threonine-protein kinase RAF inhibitor	INHIBITOR	PubMed, DOI, Other
P04049	CHEMBL3545082	RG-7376	Serine/threonine-protein kinase RAF inhibitor	INHIBITOR	PubMed
P04049	CHEMBL1946170	REGORAFENIB	Serine/threonine-protein kinase RAF inhibitor	INHIBITOR	Expert
P04049	CHEMBL3545027	XL-281	Serine/threonine-protein kinase RAF inhibitor	INHIBITOR	PubMed, Other, Other, PubMed
P43405	CHEMBL3545301	HMPL-523	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	Other, Other
P43405	CHEMBL3545159	R-333	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	Other
P43405	CHEMBL2103830	FOSTAMATINIB	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	PubMed
P43405	CHEMBL3545382	R-348	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	PubMed, PubMed
P43405	CHEMBL3544931	TAK-659	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	Other, Other
P43405	CHEMBL475251	R-406	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	PubMed
P43405	CHEMBL3545138	PRT-2607	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	PubMed, PubMed
P43405	CHEMBL3545399	R-112	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	PubMed
P43405	CHEMBL3545284	CERDULATINIB	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	PubMed, Other
P43405	CHEMBL2103830	FOSTAMATINIB	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	FDA, PubMed
P43405	CHEMBL3265032	ENTOSPLETINIB	Tyrosine-protein kinase SYK inhibitor	INHIBITOR	PubMed
P53350	CHEMBL3545354	CAFUSERTIB	Serine/threonine-protein kinase PLK1 inhibitor	INHIBITOR	Other
P53350	CHEMBL513909	BI-2536	Serine/threonine-protein kinase PLK1 inhibitor	INHIBITOR	PubMed, PubMed, PubMed
P53350	CHEMBL1233528	VOLASERTIB	Serine/threonine-protein kinase PLK1 inhibitor	INHIBITOR	PubMed
P53350	CHEMBL1738758	ONVANSERTIB	Serine/threonine-protein kinase PLK1 inhibitor	INHIBITOR	PubMed, PubMed
P53350	CHEMBL1908394	GSK-461364	Serine/threonine-protein kinase PLK1 inhibitor	INHIBITOR	PubMed, PubMed
P53350	CHEMBL2392545	TAK-960	Serine/threonine-protein kinase PLK1 inhibitor	INHIBITOR	PubMed
P53350	CHEMBL3545077	MK-1496	Serine/threonine-protein kinase PLK1 inhibitor	INHIBITOR	Other
P53350	CHEMBL3545431	HMN-214	Serine/threonine-protein kinase PLK1 inhibitor	INHIBITOR	PubMed, PubMed
P26010	CHEMBL1743015	ETROLIZUMAB	Integrin beta-7 antagonist	ANTAGONIST	PubMed
Q08881	CHEMBL477772	PAZOPANIB	Tyrosine-protein kinase ITK/TSK inhibitor	INHIBITOR	DailyMed
P23458	CHEMBL3545225	INCB-047986	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	PubMed
P23458	CHEMBL3545249	GLPG-0555	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	Other
P23458	CHEMBL2105759	BARICITINIB	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	PubMed
P23458	CHEMBL3622820	ITACITINIB	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	PubMed, PubMed
P23458	CHEMBL1078178	MOMELOTINIB	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	PubMed, PubMed
P23458	CHEMBL2106468	TRICETAMIDE	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	PubMed, PubMed
P23458	CHEMBL3301606	SOLCITINIB	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	Other, PubMed
P23458	CHEMBL1789941	RUXOLITINIB	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	FDA
P23458	CHEMBL3655081	ABROCITINIB	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	Other, PubMed
P23458	CHEMBL3545284	CERDULATINIB	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	PubMed, Other
P23458	CHEMBL3301607	FILGOTINIB	Tyrosine-protein kinase JAK1 inhibitor	INHIBITOR	PubMed
Q9UKP6	CHEMBL567303	PALOSURAN	Urotensin II receptor antagonist	ANTAGONIST	PubMed
O60674	CHEMBL3545328	XL-019	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed, PubMed
O60674	CHEMBL3544997	LS-104	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed
O60674	CHEMBL1789941	RUXOLITINIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	FDA
O60674	CHEMBL3544962	CT-1578	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed, PubMed
O60674	CHEMBL495727	AT-9283	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed, PubMed
O60674	CHEMBL1287853	FEDRATINIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed
O60674	CHEMBL1078178	MOMELOTINIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed, PubMed
O60674	CHEMBL2107823	GANDOTINIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed, PubMed
O60674	CHEMBL1287853	FEDRATINIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	FDA
O60674	CHEMBL603469	LESTAURTINIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed
O60674	CHEMBL2035187	PACRITINIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed, PubMed, PubMed, Other
O60674	CHEMBL1231124	AZD-1480	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed, PubMed
O60674	CHEMBL2105759	BARICITINIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed
O60674	CHEMBL1944698	ZOTIRACICLIB	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed
O60674	CHEMBL3545215	BMS-911543	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed, PubMed
O60674	CHEMBL3545217	NS-018	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	PubMed
O60674	CHEMBL3545241	AC-430	Tyrosine-protein kinase JAK2 inhibitor	INHIBITOR	Other
P10253	CHEMBL307429	DUVOGLUSTAT	Lysosomal alpha-glucosidase stabiliser	STABILISER	PubMed
P10253	CHEMBL1561	MIGLITOL	Lysosomal alpha-glucosidase inhibitor	INHIBITOR	PubMed, DailyMed
P17948	CHEMBL3545026	FAMITINIB	Vascular endothelial growth factor receptor 1 inhibitor	INHIBITOR	DOI, PubMed, ClinicalTrials
P17948	CHEMBL587723	AEE-788	Vascular endothelial growth factor receptor 1 inhibitor	INHIBITOR	PubMed
P17948	CHEMBL1743030	ICRUCUMAB	Vascular endothelial growth factor receptor 1 antagonist	ANTAGONIST	PubMed
P17948	CHEMBL403989	TG100-801	Vascular endothelial growth factor receptor 1 inhibitor	INHIBITOR	PubMed, PubMed, PubMed
P35968	CHEMBL3545136	PF-00337210	Vascular endothelial growth factor receptor 2 inhibitor	INHIBITOR	Other, PubMed
P35968	CHEMBL403989	TG100-801	Vascular endothelial growth factor receptor 2 inhibitor	INHIBITOR	PubMed, PubMed, PubMed
P35968	CHEMBL3545365	ALTIRATINIB	Vascular endothelial growth factor receptor 2 inhibitor	INHIBITOR	PubMed, Other
P35968	CHEMBL1743062	RAMUCIRUMAB	Vascular endothelial growth factor receptor 2 inhibitor	INHIBITOR	FDA
P35968	CHEMBL3545119	BMS-794833	Vascular endothelial growth factor receptor 2 inhibitor	INHIBITOR	Other
