uniprot_id	molecule_chembl_id	molecule_pref_name	ave_standard_value..nanoMolar.	ave_pchembl	assay_type	source	documents_id	family
P35354	CHEMBL118	CELECOXIB	226.98	7.03	B, F	1, 15, 37	CHEMBL4138061, CHEMBL1914339, CHEMBL3112465, CHEMBL3600313, CHEMBL4130504, CHEMBL3124807, CHEMBL1153635, CHEMBL3098067, CHEMBL1140379, CHEMBL3102735, CHEMBL4002614, CHEMBL1135351, CHEMBL1145864, CHEMBL4177711, CHEMBL3085681, CHEMBL1146869, CHEMBL3872255, CHEMBL3992513, CHEMBL1165918, CHEMBL3734672, CHEMBL2331353, CHEMBL1136059, CHEMBL3425477, CHEMBL1143748, CHEMBL1133261, CHEMBL1149501, CHEMBL1938240, CHEMBL4004781, CHEMBL4229460, CHEMBL1151268, CHEMBL4184229, CHEMBL3232944, CHEMBL2157877, CHEMBL1909046, CHEMBL3286286, CHEMBL2062428, CHEMBL1134614, CHEMBL4270658, CHEMBL4052777, CHEMBL4007477, CHEMBL3259784, CHEMBL1147488, CHEMBL3400051, CHEMBL4251628, CHEMBL1811892, CHEMBL1135906, CHEMBL1134587, CHEMBL2396544, CHEMBL1156697, CHEMBL3407356, CHEMBL4145689, CHEMBL3822383, CHEMBL3886798, CHEMBL2057179, CHEMBL4028830, CHEMBL1221239, CHEMBL1156674, CHEMBL4049457, CHEMBL1136665, CHEMBL1765073	other
P35354	CHEMBL1077	BROMFENAC	4.8	8.32	B	15	CHEMBL1909046	other
P35354	CHEMBL404108	LUMIRACOXIB	127.33	7.1	B	1	CHEMBL1141454, CHEMBL3774383, CHEMBL3769386, CHEMBL1145486	other
P35354	CHEMBL686	MEFENAMIC ACID	602	6.22	B	15	CHEMBL1909046	other
P35354	CHEMBL175	DEXIBUPROFEN	730	6.14	B	1	CHEMBL1944509	other
P35354	CHEMBL122	ROFECOXIB	302.53	6.75	B, F	1, 15	CHEMBL1143107, CHEMBL1154518, CHEMBL1153635, CHEMBL1136373, CHEMBL1136059, CHEMBL2169818, CHEMBL1145927, CHEMBL1145760, CHEMBL1154444, CHEMBL1140379, CHEMBL1909046, CHEMBL1135351, CHEMBL1145864, CHEMBL1138910, CHEMBL1147594, CHEMBL2311446, CHEMBL1795258, CHEMBL3232851, CHEMBL2062428, CHEMBL1134587, CHEMBL1147123, CHEMBL1136052, CHEMBL1811901, CHEMBL1136665	other
P35354	CHEMBL521	IBUPROFEN	100	7	B	1	CHEMBL1129962	other
P35354	CHEMBL571	KETOPROFEN	390.5	6.77	B, F	1, 15	CHEMBL1156585, CHEMBL1136059, CHEMBL1909046, CHEMBL3739340	other
P35354	CHEMBL469	KETOROLAC	228	6.71	B	1, 15	CHEMBL4002563, CHEMBL2034951, CHEMBL1909046	other
P35354	CHEMBL622	ETODOLAC	561	6.25	B	15	CHEMBL1909046	other
P35354	CHEMBL865	VALDECOXIB	215.13	7.14	B	1, 15	CHEMBL1138763, CHEMBL4261574, CHEMBL1909046, CHEMBL1155807, CHEMBL1153635, CHEMBL1140702, CHEMBL1134614	other
P35354	CHEMBL416146	ETORICOXIB	448	6.47	B	1	CHEMBL1153635, CHEMBL1138910, CHEMBL1130609	other
P35354	CHEMBL599	MELOXICAM	572	6.33	B	1, 15	CHEMBL1131765, CHEMBL1909046, CHEMBL1129978, CHEMBL1130988	other
P35367	CHEMBL998	LORATADINE	28.5	7.56	B	1, 15	CHEMBL1909046, CHEMBL1142741	gpcr
P35367	CHEMBL1200406	DIMENHYDRINATE	37	7.43	B	15	CHEMBL1909046	gpcr
P35367	CHEMBL296419	ASTEMIZOLE	5.17	8.46	B	1, 15	CHEMBL1909046, CHEMBL1909509, CHEMBL1145042	gpcr
P35367	CHEMBL1241	TRIPELENNAMINE	39.81	7.4	B	1	CHEMBL1145948	gpcr
P35372	CHEMBL982	NALMEFENE	0.47	9.39	B, F	1	CHEMBL3856219, CHEMBL1152554, CHEMBL1142345, CHEMBL1139291	gpcr
P35372	CHEMBL841	LOPERAMIDE	1.02	9.04	B	1, 15	CHEMBL1909046, CHEMBL1137050, CHEMBL1134447	gpcr
P35462	CHEMBL479	THIORIDAZINE	6.63	8.24	B	15	CHEMBL1909046	gpcr
P35462	CHEMBL715	OLANZAPINE	51.7	7.33	B	1, 15	CHEMBL3751719, CHEMBL1909046, CHEMBL1148822, CHEMBL1149193, CHEMBL1134342, CHEMBL1142715, CHEMBL3351528, CHEMBL3217546, CHEMBL3352364	gpcr
P35462	CHEMBL531	PERGOLIDE	3.02	8.62	B	1, 15	CHEMBL1909046, CHEMBL1143571, CHEMBL1130416	gpcr
P35462	CHEMBL564	PROMAZINE	69	7.16	B	15	CHEMBL1909046	gpcr
P35498	CHEMBL1200	BENOXINATE	2900	5.54	B	1	CHEMBL1122963	ion_channel
P35498	CHEMBL1294	QUINIDINE	3200	5.5	B	1	CHEMBL1122963	ion_channel
P35916	CHEMBL1336	SORAFENIB	11.67	8.04	B	1	CHEMBL1177651, CHEMBL2163296, CHEMBL1149823	kinase
P35916	CHEMBL502835	NINTEDANIB	7.44	8.22	B	1	CHEMBL1240338, CHEMBL3407402, CHEMBL1137777, CHEMBL4130391, CHEMBL3992544	kinase
P35968	CHEMBL101253	VATALANIB	16.6	7.8	B	1	CHEMBL2417410, CHEMBL1135689, CHEMBL3352276, CHEMBL1153264	kinase
P35968	CHEMBL1336	SORAFENIB	9.56	8.52	B	1, 37	CHEMBL3585346, CHEMBL3108731, CHEMBL2034932, CHEMBL1240340, CHEMBL4130538, CHEMBL4138129, CHEMBL4152295, CHEMBL4138043, CHEMBL1817643, CHEMBL3758083, CHEMBL2384934, CHEMBL1806486, CHEMBL3751776, CHEMBL3992524, CHEMBL3739356, CHEMBL3886965, CHEMBL4219206, CHEMBL3098016	kinase
P35968	CHEMBL502835	NINTEDANIB	9.26	8.18	B	1	CHEMBL3407402, CHEMBL4130560, CHEMBL1908390, CHEMBL4028913, CHEMBL1137777, CHEMBL3992544, CHEMBL4130391	kinase
P36888	CHEMBL1336	SORAFENIB	11.56	8.07	B	1	CHEMBL1240346, CHEMBL3232894, CHEMBL1149823, CHEMBL1908390, CHEMBL3797082, CHEMBL2331331, CHEMBL4052828	kinase
P36888	CHEMBL3813873	PEXIDARTINIB	5	8.3	B	1	CHEMBL3813655	kinase
P36888	CHEMBL3301622	GILTERITINIB	0.41	9.39	B	37	CHEMBL3639105	kinase
P40238	CHEMBL461101	ELTROMBOPAG	38	7.42	F	1	CHEMBL1144200	other
P41143	CHEMBL982	NALMEFENE	9.87	8.19	B, F	1	CHEMBL1142345, CHEMBL3856219, CHEMBL1152554, CHEMBL1139291	gpcr
P41145	CHEMBL982	NALMEFENE	0.41	9.66	B	1	CHEMBL1152554, CHEMBL3856219, CHEMBL1139291	gpcr
P43166	CHEMBL18	ETHOXZOLAMIDE	0.76	9.12	B	1	CHEMBL2331308, CHEMBL3098019	other
P46098	CHEMBL46	ONDANSETRON	28.41	8.3	B, F	1	CHEMBL1124788, CHEMBL1128861, CHEMBL1126872, CHEMBL1126420, CHEMBL1134160, CHEMBL1268946, CHEMBL2203036, CHEMBL1124976, CHEMBL1124975	ion_channel
P48058	CHEMBL1277001	MIBAMPATOR	150	6.82	B	1	CHEMBL1275320	ion_channel
P49354	CHEMBL298734	LONAFARNIB	4.63	8.47	B	1	CHEMBL1268954, CHEMBL3217471, CHEMBL1149187	other
P49356	CHEMBL298734	LONAFARNIB	4.63	8.47	B	1	CHEMBL1268954, CHEMBL3217471, CHEMBL1149187	other
P50613	CHEMBL428690	ALVOCIDIB	23	7.64	B	1	CHEMBL1908390	kinase
P50750	CHEMBL428690	ALVOCIDIB	7.5	8.24	B	1	CHEMBL2311463, CHEMBL4043283, CHEMBL3856187, CHEMBL3259517, CHEMBL3734696, CHEMBL4028900, CHEMBL4270504, CHEMBL1908390	kinase
P50993	CHEMBL254219	DIGITOXIN	8	8.1	B	1	CHEMBL1126931	other
P50993	CHEMBL1751	DIGOXIN	335	6.49	B	1	CHEMBL1144898, CHEMBL4229479	other
P51164	CHEMBL1503	OMEPRAZOLE	350.3	6.47	B, F	1	CHEMBL1125404, CHEMBL1124228, CHEMBL1130286	other
P52333	CHEMBL221959	TOFACITINIB	8.04	8.58	B	1	CHEMBL1908390, CHEMBL2385054, CHEMBL2375236, CHEMBL1151738, CHEMBL4118225, CHEMBL3102787, CHEMBL2150873, CHEMBL4229546, CHEMBL1649080, CHEMBL3797127, CHEMBL3593193, CHEMBL1148837, CHEMBL3351377, CHEMBL3112442, CHEMBL2375291, CHEMBL4270539, CHEMBL3867460, CHEMBL3297690, CHEMBL1154287, CHEMBL1629452, CHEMBL4257589, CHEMBL1287810, CHEMBL1938231, CHEMBL1240298, CHEMBL4028908	kinase
P54709	CHEMBL1751	DIGOXIN	335	6.49	B	1	CHEMBL4229479, CHEMBL1144898	other
P54709	CHEMBL254219	DIGITOXIN	8	8.1	B	1	CHEMBL1126931	other
P54710	CHEMBL254219	DIGITOXIN	8	8.1	B	1	CHEMBL1126931	other
P54710	CHEMBL1751	DIGOXIN	335	6.49	B	1	CHEMBL1144898, CHEMBL4229479	other
P62937	CHEMBL160	CYCLOSPORINE	85.34	7.67	B, F	1	CHEMBL1128525, CHEMBL4152348, CHEMBL3217729, CHEMBL1155051, CHEMBL1687693, CHEMBL1152440, CHEMBL3739281, CHEMBL1134550, CHEMBL1137192, CHEMBL1136490, CHEMBL3862006, CHEMBL3992528, CHEMBL3751796, CHEMBL1212730, CHEMBL1212786, CHEMBL1909557, CHEMBL1687706, CHEMBL1770078, CHEMBL2424541, CHEMBL1269000	other
P62942	CHEMBL269732	TACROLIMUS	145.76	8.46	B	1	CHEMBL1121863, CHEMBL1131808, CHEMBL1131619, CHEMBL1131428, CHEMBL1128043, CHEMBL4017474, CHEMBL1132455	other
P62942	CHEMBL413	SIROLIMUS	0.76	9.21	B	1	CHEMBL1131933, CHEMBL1131428, CHEMBL1131619, CHEMBL4257468, CHEMBL1143652	other
P68363	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL3407434, CHEMBL4138136, CHEMBL1137258	other
P68366	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL1137258, CHEMBL4138136, CHEMBL3407434	other
P68371	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL4138136, CHEMBL3407434, CHEMBL1137258	other
Q00534	CHEMBL3301610	ABEMACICLIB	8.61	8.09	B	1	CHEMBL4184274, CHEMBL4196019, CHEMBL3856187, CHEMBL4177628, CHEMBL4270504, CHEMBL3603804, CHEMBL4270627, CHEMBL4251601	kinase
Q01668	CHEMBL6966	VERAPAMIL	200	6.7	F	1	CHEMBL3436045	ion_channel
Q02127	CHEMBL973	TERIFLUNOMIDE	294.38	6.69	B	1	CHEMBL1139229, CHEMBL2177103, CHEMBL4130632, CHEMBL1138463, CHEMBL2429811, CHEMBL3286300, CHEMBL3808318, CHEMBL1140402, CHEMBL3588748, CHEMBL3407421	other
Q06187	CHEMBL3707348	ACALABRUTINIB	3.05	8.52	B	1	CHEMBL3808322, CHEMBL4152198	kinase
Q07343	CHEMBL514800	APREMILAST	65.2	7.21	B	1	CHEMBL1152807, CHEMBL4033796	other
Q08493	CHEMBL514800	APREMILAST	74	7.13	B	1	CHEMBL1152807	other
Q08499	CHEMBL514800	APREMILAST	74	7.13	B	1	CHEMBL1152807	other
Q12809	CHEMBL633	AMIODARONE	3676.67	6.17	B, F	1	CHEMBL1671772, CHEMBL1150324, CHEMBL3430321	ion_channel
Q13509	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL4138136, CHEMBL3407434, CHEMBL1137258	other
Q13698	CHEMBL6966	VERAPAMIL	200	6.7	F	1	CHEMBL3436045	ion_channel
Q13733	CHEMBL254219	DIGITOXIN	8	8.1	B	1	CHEMBL1126931	other
Q13733	CHEMBL1751	DIGOXIN	335	6.49	B	1	CHEMBL1144898, CHEMBL4229479	other
Q13885	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL4138136, CHEMBL1137258, CHEMBL3407434	other
Q13936	CHEMBL6966	VERAPAMIL	190	6.72	B, F	1	CHEMBL1127038, CHEMBL3436045	ion_channel
Q14524	CHEMBL1294	QUINIDINE	6900	5.16	B	1	CHEMBL1143695	ion_channel
Q16539	CHEMBL1088751	PH-797804	5.03	8.45	B	1	CHEMBL4017508, CHEMBL1799989, CHEMBL1156258, CHEMBL1795201, CHEMBL1157781	kinase
Q16790	CHEMBL18	ETHOXZOLAMIDE	32.46	7.72	B	1	CHEMBL4138187, CHEMBL2163195, CHEMBL2390891, CHEMBL3120137, CHEMBL1143479	other
Q3ZCM7	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL3407434, CHEMBL1137258, CHEMBL4138136	other
Q6PEY2	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL4138136, CHEMBL3407434, CHEMBL1137258	other
Q71U36	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL3407434, CHEMBL1137258, CHEMBL4138136	other
Q8N1Q1	CHEMBL18	ETHOXZOLAMIDE	13	7.89	B	1	CHEMBL2331308	other
Q8TBC4	CHEMBL1231160	PEVONEDISTAT	5	8.3	B	1	CHEMBL4219151	other
Q92731	CHEMBL46740	BAZEDOXIFENE	44.4	7.75	B	1	CHEMBL1134479, CHEMBL1141200	nuclear_receptor
Q96SW2	CHEMBL43452	POMALIDOMIDE	23	7.64	B	1	CHEMBL4219026	other
Q96SW2	CHEMBL848	LENALIDOMIDE	77	7.12	B	1	CHEMBL4219026	other
Q99250	CHEMBL1294	QUINIDINE	3200	5.5	B	1	CHEMBL1122963	ion_channel
Q99250	CHEMBL1200	BENOXINATE	2900	5.54	B	1	CHEMBL1122963	ion_channel
Q99500	CHEMBL314854	FINGOLIMOD	3	8.52	B	1	CHEMBL3085709	gpcr
Q99835	CHEMBL2105737	SONIDEGIB	6	8.22	B	1	CHEMBL2157904	gpcr
Q9BQE3	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL3407434, CHEMBL1137258, CHEMBL4138136	other
Q9BUF5	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL3407434, CHEMBL4138136, CHEMBL1137258	other
Q9BVA1	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL4138136, CHEMBL1137258, CHEMBL3407434	other
Q9H228	CHEMBL314854	FINGOLIMOD	0.3	9.52	B	1	CHEMBL3085709	gpcr
Q9H4B7	CHEMBL107	COLCHICINE	306	6.66	B	1	CHEMBL1137258, CHEMBL3407434, CHEMBL4138136	other
Q9NR96	CHEMBL1535	HYDROXYCHLOROQUINE	110	6.96	B	1	CHEMBL4265977	other
Q9NY46	CHEMBL1294	QUINIDINE	3200	5.5	B	1	CHEMBL1122963	ion_channel
Q9NY46	CHEMBL1200	BENOXINATE	2900	5.54	B	1	CHEMBL1122963	ion_channel
Q9NYK1	CHEMBL1535	HYDROXYCHLOROQUINE	800	6.1	B	1	CHEMBL4265977	other
Q9ULX7	CHEMBL18	ETHOXZOLAMIDE	13.75	8.1	B	1	CHEMBL3098019, CHEMBL1817544	other
Q9UM73	CHEMBL2403108	CERITINIB	6.83	8.48	B	1	CHEMBL4017457, CHEMBL3992504, CHEMBL4130574, CHEMBL3870304, CHEMBL4145454, CHEMBL2401692, CHEMBL2401656, CHEMBL4152197	kinase
Q9Y2D0	CHEMBL18	ETHOXZOLAMIDE	7.67	8.37	B	1	CHEMBL1141924, CHEMBL1681677	other
